,"_C","_V"
"[gl](1)","[m](u1?no_translation)","[m](u1?no_translation)[m](ylk?no_translation)"
"[gl](2)","[m](a2?no_translation)","[m](a2?no_translation)[m](ylk?no_translation)"
"[gl](3)","[m](i31?no_translation)","[m](it3?no_translation)"
