ID,Language_ID,Name,Description,Segments,Morpheme_ID,Parameter_ID,Comment,Source,Part_Of_Speech
pirika-endure,yab,pïrïka,,p ɨ r ɨ k a,pirika-endure,endure,,,
roka-wash,yab,roka,,r o k a,roka-wash,wash,,,
roko-crazy,yab,roko,,r o k o,roko-crazy,crazy,,,
romoye-downriver,yab,romoye,,r o m o j e,romoye-downriver,downriver,,,
rotoro-doctor,yab,rotoro,,r o t o r o,rotoro-doctor,doctor,,,
rui-older-brother,yab,rui,,r u i,rui-older-brother,older brother,,,
sai-penis,yab,sai,,s a i,sai-penis,penis,,,
sakara-hoplias-malabaricus,yab,sakara,,s a k a r a,sakara-hoplias-malabaricus,hoplias malabaricus,,,
sakau-sand,yab,sakau,,s a k a u,sakau-sand,sand,,,
saku-sweet-potato,yab,saku,,s a k u,saku-sweet-potato,sweet potato,,,
samo-cry,yab,samo,,s a m o,samo-cry,cry,,,
semo-cry,yab,sëmo,,s ə m o,samo-cry,cry,,,
asamo-cry,yab,asamo,,a s a m o,samo-cry,cry,,,
sampu-black-piranha,yab,sampu,,s a m p u,sampu-black-piranha,black piranha,,,
sapara-heavy-pot,yab,sapara,,s a p a r a,sapara-heavy-pot,heavy pot,,,
sare-here-all,yab,sarë,,s a r ə,sare-here-all,here.ALL,,,
sawo-rapids,yab,sawo,,s a w o,sawo-rapids,rapids,,,
sepami-get-married,yab,sepamï,,s e p a m ɨ,sepami-get-married,get married,,,
sepan-get-married,yab,sepan,,s e p a n,sepami-get-married,get married,,,
sere-bitter-manioc,yab,sere,,s e r e,sere-bitter-manioc,bitter manioc,,,
sojpa-take-out,yab,sojpa,,s o h p a,sojpa-take-out,take out,,,
sopika-skin,yab,sopika,,s o p i k a,sopika-skin,skin,,,
sukase-all,yab,sukase,,s u k a s e,sukase-all,all,,,
sukutaka-yucuta,yab,sukutaka,,s u k u t a k a,sukutaka-yucuta,yucuta,,,
surukupi-fish-sp,yab,surukupi,,s u r u k u p i,surukupi-fish-sp,fish.sp,,,
sema-die,yab,sëma,,s ə m a,sema-die,die,Looks like a DETRZ?,,
esema-die,yab,ësëma,,ə s ə m a,sema-die,die,Looks like a DETRZ?,,
tajme-ugly,yab,tajme,,t a h m e,tajme-ugly,ugly,,,
tajnomo-piaroa,yab,tajnomo,,t a h n o m o,tajnomo-piaroa,Piaroa,,,
tajnon-piaroa,yab,tajnon,,t a h n o n,tajnomo-piaroa,Piaroa,,,
tajromini-bad-omen,yab,tajromini,,t a h r o m i n i,tajromini-bad-omen,bad omen,,,
tajromin-bad-omen,yab,tajromin,,t a h r o m i n,tajromini-bad-omen,bad omen,,,
tajropo-have-fever,yab,tajropo,,t a h r o p o,tajropo-have-fever,have fever,,,
takono-other,yab,takono,,t a k o n o,takono-other,other,,,
takon-other,yab,takon,,t a k o n,takono-other,other,,,
takunu-laziness,yab,takunu,,t a k u n u,takunu-laziness,laziness,,,
tapa-beat,yab,tapa,,t a p a,tapa-beat,beat,,,
tarine-fast,yab,tarine,,t a r i n e,tarine-fast,fast,Derived with _-ne_?,,
taro-say,yab,taro,,t a r o,taro-say,say,,,
taj-say,yab,taj,,t a h,taro-say,say,,,
ta-say,yab,ta,,t a,taro-say,say,,,
tawani-darkness,yab,tawani,,t a w a n i,tawani-darkness,darkness,,,
tawa-nyctidromus-albicollis,yab,tawa,,t a w a,tawa-nyctidromus-albicollis,nyctidromus albicollis,,,
tejwetunu-sick,yab,tejwetunu,,t e h w e t u n u,tejwetunu-sick,sick,,,
tejetum-sick,yab,tejetum,,t e h e t u m,tejwetunu-sick,sick,,,
temeki-defend,yab,temekï,,t e m e k ɨ,temeki-defend,defend,,,
semeki-defend,yab,semekï,,s e m e k ɨ,temeki-defend,defend,,,
semej-defend,yab,semej,,s e m e h,temeki-defend,defend,,,
ti-hsy,yab,ti,,t i,ti-hsy,HSY,,,
tojpa-hit,yab,tojpa,,t o h p a,tojpa-hit,hit,,,
tonko-play,yab,tonko,,t o n k o,tonko-play,play,,,
torono-bird,yab,torono,,t o r o n o,torono-bird,bird,,,
torote-cemetery,yab,torotë,,t o r o t ə,torote-cemetery,cemetery,,,
toto-non-indian,yab,toto,,t o t o,toto-non-indian,non-Indian,,,
tuj-fall,yab,tuj,,t u h,tuj-fall,fall,,,
tujnaka-iller,yab,tujnaka,,t u h n a k a,tujnaka-iller,iller,,,
tuna-water,yab,tuna,,t u n a,tuna-water,water,,,
tunami-hide,yab,tunamï,,t u n a m ɨ,tunami-hide,hide,,,
tunam-hide,yab,tunam,,t u n a m,tunami-hide,hide,,,
tu-give,yab,tu,,t u,tu-give,give,,,
te-loc,yab,të,,t ə,te-loc,LOC,,,
teijpo-far,yab,tëijpo,,t ə i h p o,teijpo-far,far; long,,,
teijpe-far,yab,tëijpë,,t ə i h p ə,teijpo-far,far; long,,,
teijpo-far-1,yab,teijpo,,t e i h p o,teijpo-far,far; long,,,
tejta-hollow,yab,tëjta,,t ə h t a,tejta-hollow,hollow,,,
tewi-3pro,yab,tëwï,,t ə w ɨ,tewi-3pro,3PRO,,,
tewisantomo-3pro-pl,yab,tëwïsantomo,,t ə w ɨ s a n t o m o,tewisantomo-3pro-pl,3PRO.PL,,,
tewisanton-3pro-pl,yab,tëwïsanton,,t ə w ɨ s a n t o n,tewisantomo-3pro-pl,3PRO.PL,,,
waijta-mouse,yab,waijta,,w a i h t a,waijta-mouse,mouse,,,
waijte-head,yab,waijtë,,w a i h t ə,waijte-head,head,,,
waimu-language,yab,waimu,,w a i m u,waimu-language,language,,,
waimu-speak,yab,waimu,,w a i m u,waimu-speak,speak,,,
waimurun-speak,yab,waimurun,,w a i m u r u n,waimu-speak,speak,,,
wajto-fire,yab,wajto,,w a h t o,wajto-fire,fire,,,
wajyaki-happy,yab,wajyakï,,w a h j a k ɨ,wajyaki-happy,happy,,,
wajyaki-be-happy,yab,wajyakï,,w a h j a k ɨ,wajyaki-be-happy,be happy,,,
wajyakiti-be-happy,yab,wajyakïtï,,w a h j a k ɨ t ɨ,wajyaki-be-happy,be happy,,,
wajyama-kiss,yab,wajyama,,w a h j a m a,wajyama-kiss,kiss,,,
wanapu-savannah,yab,wanapu,,w a n a p u,wanapu-savannah,savannah,,,
wanene-aunt,yab,wanene,,w a n e n e,wanene-aunt,aunt,,,
waraijtokomo-man,yab,waraijtokomo,,w a r a i h t o k o m o,waraijtokomo-man,man,,,
waraijtokom-man,yab,waraijtokom,,w a r a i h t o k o m,waraijtokomo-man,man,,,
waraijtokon-man,yab,waraijtokon,,w a r a i h t o k o n,waraijtokomo-man,man,,,
waraijto-husband,yab,waraijto,,w a r a i h t o,waraijto-husband,husband,,,
warota-work,yab,warota,,w a r o t a,warota-work,work,,,
waruwa-hoti,yab,waruwa,,w a r u w a,waruwa-hoti,hoti,,,
waruwaru-hoti,yab,waruwaru,,w a r u w a r u,waruwa-hoti,hoti,,,
wasayi-attalea-maripa,yab,wasayi,,w a s a j i,wasayi-attalea-maripa,attalea maripa,,,
wasai-attalea-maripa,yab,wasai,,w a s a i,wasayi-attalea-maripa,attalea maripa,,,
wati-burn,yab,watï,,w a t ɨ,wati-burn,burn,,,
waj-burn,yab,waj,,w a h,wati-burn,burn,,,
wawe-loc-aq,yab,wawë,,w a w ə,wawe-loc-aq,LOC.AQ,,,
weka-defecate,yab,weka,,w e k a,weka-defecate,defecate,,,
wena-vomit,yab,wena,,w e n a,wena-vomit,vomit,,,
wenkepi-forget,yab,wenkepï,,w e n k e p ɨ,wenkepi-forget,forget,,,
wenkepi-forget-1,yab,wënkepï,,w ə n k e p ɨ,wenkepi-forget,forget,,,
wenkej-forget,yab,wënkej,,w ə n k e h,wenkepi-forget,forget,,,
wepi-come,yab,wepï,,w e p ɨ,wepi-come,come,,,
wej-come,yab,wej,,w e h,wepi-come,come,,,
wereta-arrive,yab,wereta,,w e r e t a,wereta-arrive,arrive,Potentially derived with [mp](tavbz).,,
werewere-mosquito-sp,yab,werewere,,w e r e w e r e,werewere-mosquito-sp,mosquito sp.,,,
wereyi-cloud,yab,wereyi,,w e r e j i,wereyi-cloud,cloud,,,
werey-cloud,yab,werey,,w e r e j,wereyi-cloud,cloud,,,
weroro-dog,yab,weroro,,w e r o r o,weroro-dog,dog,,,
weseyu-be-brave,yab,weseyu,,w e s e j u,weseyu-be-brave,be brave,,,
wesei-be-brave,yab,wesei,,w e s e i,weseyu-be-brave,be brave,,,
wiriyamo-woman,yab,wiriyamo,,w i r i j a m o,wiriyamo-woman,woman,,,
wurijyam-woman,yab,wurijyam,,w u r i h j a m,wiriyamo-woman,woman,,,
wurijyamo-woman,yab,wurijyamo,,w u r i h j a m o,wiriyamo-woman,woman,,,
wurijyan-woman,yab,wurijyan,,w u r i h j a n,wiriyamo-woman,woman,,,
wejka-fall,yab,wëjka,,w ə h k a,wejka-fall,fall,,,
wejte-go-down,yab,wëjtë,,w ə h t ə,wejte-go-down,go down,,,
we-kill,yab,wë,,w ə,we-kill,kill,,,
winiki-sleep,yab,wïnïkï,,w ɨ n ɨ k ɨ,winiki-sleep,sleep,,,
winik-sleep,yab,winik,,w i n i k,winiki-sleep,sleep,,,
winij-sleep,yab,wïnïj,,w ɨ n ɨ h,winiki-sleep,sleep,,,
wire-1pro,yab,wïrë,,w ɨ r ə,wire-1pro,1PRO,,,
ya-ra-grandchild,yab,ya'ra,,j a ʔ r a,ya-ra-grandchild,grandchild,,,
yajno-brother-in-law-man,yab,yajno,,j a h n o,yajno-brother-in-law-man,brother in law (man),,,
yaka-all,yab,yaka,,j a k a,yaka-all,ALL,,,
yaka-dig-out,yab,yaka,,j a k a,yaka-dig-out,dig out,,,
yamane-make,yab,yamanë,,j a m a n ə,yamane-make,make,,,
yaman-make,yab,yaman,,j a m a n,yamane-make,make,,,
yamani-make,yab,yamani,,j a m a n i,yamane-make,make,,,
yami-pick-up,yab,yamï,,j a m ɨ,yami-pick-up,pick up,,,
yan-pick-up,yab,yan,,j a n,yami-pick-up,pick up,,,
yam-pick-up,yab,yam,,j a m,yami-pick-up,pick up,,,
yane-mother,yab,yanë,,j a n ə,yane-mother,mother,,,
sane-mother,yab,sanë,,s a n ə,yane-mother,mother,,,
yaniki-call,yab,yanïkï,,j a n ɨ k ɨ,yaniki-call,call,,,
yanij-call,yab,yanïj,,j a n ɨ h,yaniki-call,call,,,
yapijtomo-old,yab,yapijtomo,,j a p i h t o m o,yapijtomo-old,old,Fossilized _-tomo_.,,
yapijton-old,yab,yapijton,,j a p i h t o n,yapijtomo-old,old,Fossilized _-tomo_.,,
yapechi-grab,yab,yapëchi,,j a p ə t͡ʃ i,yapechi-grab,grab,,,
yapej-grab,yab,yapëj,,j a p ə h,yapechi-grab,grab,,,
yapichi-grab,yab,yapïchi,,j a p ɨ t͡ʃ i,yapechi-grab,grab,,,
yarika-laugh,yab,yarika,,j a r i k a,yarika-laugh,laugh,,,
yaruwa-laugh,yab,yaruwa,,j a r u w a,yaruwa-laugh,laugh,,,
yare-bring,yab,yarë,,j a r ə,yare-bring,bring,,,
yatane-adolescent,yab,yatanë,,j a t a n ə,yatane-adolescent,adolescent,,,
yatam-adolescent,yab,yatam,,j a t a m,yatane-adolescent,adolescent,,,
yatan-adolescent,yab,yatan,,j a t a n,yatane-adolescent,adolescent,,,
yatunu-day,yab,yatunu,,j a t u n u,yatunu-day,day; sun,,,
yatum-day,yab,yatum,,j a t u m,yatunu-day,day; sun,,,
yatun-day,yab,yatun,,j a t u n,yatunu-day,day; sun,,,
yate-loc,yab,yatë,,j a t ə,yate-loc,LOC,,,
yawaka-sow,yab,yawaka,,j a w a k a,yawaka-sow,sow,,,
yawaki-grate,yab,yawakï,,j a w a k ɨ,yawaki-grate,grate,,,
yawanka-kill,yab,yawanka,,j a w a n k a,yawanka-kill,kill,,,
yaye-loc,yab,yaye,,j a j e,yaye-loc,LOC,,,
yemekunu-five,yab,yemekunu,,j e m e k u n u,yemekunu-five,five,,,
yeme-eat-fruits-eggs-soup,yab,yeme,,j e m e,yeme-eat-fruits-eggs-soup,"eat (fruits, eggs, soup)",,,
yenepe-send-away,yab,yenepe,,j e n e p e,yenepe-send-away,send away,,,
yepema-pay,yab,yepema,,j e p e m a,yepema-pay,pay,Potentially derived with [mp](macaus).,,
yojma-mix,yab,yojma,,j o h m a,yojma-mix,mix,Maybe from [mp](oki-chicha) and [mp](macaus)?,,
yojte-fish-with-hook,yab,yojtë,,j o h t ə,yojte-fish-with-hook,fish with hook,,,
yoko-pimple,yab,yoko,,j o k o,yoko-pimple,pimple,,,
yoki-eat-starch,yab,yokï,,j o k ɨ,yoki-eat-starch,eat (starch),,,
yoj-eat-starch,yab,yoj,,j o h,yoki-eat-starch,eat (starch),,,
yopo-find,yab,yopo,,j o p o,yopo-find,find,,,
yujwa-burn,yab,yujwa,,j u h w a,yujwa-burn,burn,,,
yumpe-fairly,yab,yumpe,,j u m p e,yumpe-fairly,fairly; much,,,
yutu-forest,yab,yutu,,j u t u,yutu-forest,forest,,,
ye-tooth,yab,yë,,j ə,ye-tooth,tooth,,,
ye-tooth-1,yab,ye,,j e,ye-tooth,tooth,,,
yejpe-bone,yab,yëjpë,,j ə h p ə,yejpe-bone,bone,,,
yempeka-offend,yab,yëmpëka,,j ə m p ə k a,yempeka-offend,offend,,,
yeni-drink,yab,yëni,,j ə n i,yeni-drink,drink,,,
yeni-drink-1,yab,yeni,,j e n i,yeni-drink,drink,,,
yen-drink,yab,yën,,j ə n,yeni-drink,drink,,,
yeni-drink-2,yab,yënï,,j ə n ɨ,yeni-drink,drink,,,
yene-eat-meat,yab,yënë,,j ə n ə,yene-eat-meat,eat (meat),,,
yewuku-answer,yab,yëwuku,,j ə w u k u,yewuku-answer,answer,,,
yeye-tree,yab,yëye,,j ə j e,yeye-tree,tree,,,
yipi-mountain,yab,yïpï,,j ɨ p ɨ,yipi-mountain,mountain,,,
ejpina-often,yab,ëjpïna,,ə h p ɨ n a,ejpina-often,often,,,
eke-which,yab,ëkë,,ə k ə,eke-which,which,,,
ekere-jaguar,yab,ëkërë,,ə k ə r ə,ekere-jaguar,jaguar,,,
empare-already,yab,ëmpare,,ə m p a r e,empare-already,already,,,
impare-already,yab,ïmparë,,ɨ m p a r ə,empare-already,already,,,
enuku-go-up,yab,ënuku,,ə n u k u,enuku-go-up,go up,,,
enuj-go-up,yab,ënuj,,ə n u h,enuku-go-up,go up,,,
erine-cooking-pot,yab,ërinë,,ə r i n ə,erine-cooking-pot,cooking pot,,,
etipa-go-in-group,yab,ëtïpa,,ə t ɨ p a,etipa-go-in-group,go in group,,,
tipa-go-in-group,yab,tipa,,t i p a,etipa-go-in-group,go in group,,,
ya-erg,yab,ya,,j a,ya-erg,ERG,,,
ya-obl,yab,ya,,j a,ya-obl,OBL,,,
ma-rst,yab,ma,,m a,ma-rst,RST,,,
re-emp,yab,rë,,r ə,re-emp,EMP,,,
yawe-loc,yab,yawë,,j a w ə,yawe-loc,LOC,,,
yawo-loc,yab,yawo,,j a w o,yawe-loc,LOC,,,
chawe-loc,yab,chawë,,t͡ʃ a w ə,yawe-loc,LOC,,,
pinika-prob,yab,pïnika,,p ɨ n i k a,pinika-prob,PROB,,,
taki-cnfrm,yab,takï,,t a k ɨ,taki-cnfrm,CNFRM,,,
tawara-too,yab,tawara,,t a w a r a,tawara-too,too,,,
tawaraij-too,yab,tawaraij,,t a w a r a i h,tawara-too,too,,,
chiyawe-when,yab,chiyawë,,t͡ʃ i j a w ə,chiyawe-when,when,,,
kwase-how,yab,kwase,,k w a s e,kwase-how,how,,,
pirare-neg-exist,yab,pïrarë,,p ɨ r a r ə,pirare-neg-exist,NEG.EXIST,,,
chi-cop,yab,chi,,t͡ʃ i,chi-cop,COP,*eti,,
ch-cop,yab,ch,,t͡ʃ,chi-cop,COP,*eti,,
chij-cop,yab,chij,,t͡ʃ i h,chi-cop,COP,*eti,,
wej-cop,yab,wej,,w e h,chi-cop,COP,*eti,,
ne-ints,yab,ne,,n e,ne-ints,INTS,,,
n-ints,yab,n,,n,ne-ints,INTS,,,
neke-cntr,yab,neke,,n e k e,neke-cntr,CNTR,,,
e-e-yes,yab,ë'ë,,ə ʔ ə,e-e-yes,yes,,,
taji-foc,yab,taji,,t a h i,taji-foc,FOC,A Piaroan loanword?,,
ire-3ana-inan,yab,irë,,i r ə,ire-3ana-inan,3ANA.INAN,,,
ijte-there,yab,ijtë,,i h t ə,ijte-there,there,,,
pinire-neg,yab,pïnirë,,p ɨ n i r ə,pinire-neg,NEG,Prominently used in nonverbal predication.,,
waraij-like,yab,waraij,,w a r a i h,waraij-like,like,,,
warai-like,yab,warai,,w a r a i,waraij-like,like,,,
maniki-rel-anim,yab,manïkï,,m a n ɨ k ɨ,maniki-rel-anim,REL.ANIM,,,
maniki-rel-anim-1,yab,maniki,,m a n i k i,maniki-rel-anim,REL.ANIM,,,
te-go,yab,të,,t ə,te-go,go,Irregularly inflected.,,
ke-ins,yab,ke,,k e,ke-ins,INS,,,
ewenke-ignorant,yab,ewenke,,e w e n k e,ewenke-ignorant,ignorant,,,
wara-thus,yab,wara,,w a r a,wara-thus,thus,,,
suku-urine,yab,suku,,s u k u,suku-urine,urine,,,
suj-urine,yab,suj,,s u h,suku-urine,urine,,,
mesuku-blood,yab,mesuku,,m e s u k u,mesuku-blood,blood,-tu PERT,,
mesuj-blood,yab,mesuj,,m e s u h,mesuku-blood,blood,-tu PERT,,
enka-finish,yab,ënka,,ə n k a,enka-finish,finish,,,
enejka-watch,yab,enejka,,e n e h k a,enejka-watch,watch,,,
tawejka-dawn,yab,tawejka,,t a w e h k a,tawejka-dawn,dawn,,,
aniki-who,yab,anïkï,,a n ɨ k ɨ,aniki-who,who,,,
aniki-who-1,yab,aniki,,a n i k i,aniki-who,who,,,
ka-say,yab,ka,,k a,ka-say,say,,,
kaj-say,yab,kaj,,k a h,ka-say,say,,,
iwiti-house,yab,ïwïtï,,ɨ w ɨ t ɨ,iwiti-house,house,,,
iwij-house,yab,ïwïj,,ɨ w ɨ h,iwiti-house,house,,,
ej-house,yab,ëj,,ə h,iwiti-house,house,,,
tawaja-thus-neg,yab,tawaja,,t a w a h a,tawaja-thus-neg,thus.NEG,"Looks suspiciously like [mp](tawara-too) and [mp](janeg), but the combination would be unexpected.",,
kanta-sing,yab,kanta,,k a n t a,kanta-sing,sing,,,
soj-splash,yab,soj,,s o h,soj-splash,splash,,,
aaa-ah,yab,aaa,,a a a,aaa-ah,ah,,,
ekete-where,yab,ëkëtë,,ə k ə t ə,ekete-where,where,,,
ekej-where,yab,ëkëj,,ə k ə h,ekete-where,where,,,
eki-chicha,yab,ëkï,,ə k ɨ,eki-chicha,chicha,,,
oki-chicha,yab,okï,,o k ɨ,eki-chicha,chicha,,,
womi-enter,yab,womï,,w o m ɨ,womi-enter,enter,,,
won-enter,yab,won,,w o n,womi-enter,enter,,,
ta-like,yab,ta,,t a,ta-like,like,,,
nwa-thus,yab,nwa,,n w a,nwa-thus,thus,,,
wa-thus,yab,wa,,w a,nwa-thus,thus,,,
ejka-right,yab,ëjka,,ə h k a,ejka-right,right,,,
enka-right,yab,ënka,,ə n k a,ejka-right,right,,,
sakunkai-s,yab,sakunkai,,s a k u n k a i,sakunkai-s,S.,,,
i-put,yab,i,,i,i-put,put,,,
kij-ugh,yab,kïj,,k ɨ h,kij-ugh,ugh,,,
ki-ugh,yab,kï,,k ɨ,kij-ugh,ugh,,,
ke-ugh,yab,kë,,k ə,kij-ugh,ugh,,,
ajaja-hahaha,yab,ajaja,,a h a h a,ajaja-hahaha,hahaha,,,
ja-ja-ja-ja-hahaha,yab,ja-ja-ja-ja,,h a h a h a h a,ajaja-hahaha,hahaha,,,
peremeki-talk,yab,përemekï,,p ə r e m e k ɨ,peremeki-talk,talk,,,
narepe-part,yab,narëpe,,n a r ə p e,narepe-part,PART,Rhetorical question?,,
pare-also,yab,parë,,p a r ə,pare-also,also,,,
sa-eval,yab,sa,,s a,sa-eval,EVAL,,,
yekerema-boast-sexually,yab,yekerema,,j e k e r e m a,yekerema-boast-sexually,boast sexually,,,
sukuri-silently,yab,sukuri,,s u k u r i,sukuri-silently,silently,,,
yare-alone,yab,yarë,,j a r ə,yare-alone,alone,,,
mmm-yes,yab,mmm,,m m m,mmm-yes,yes,,,
wera-like,yab,wëra,,w ə r a,wera-like,like,,,
wara-like,yab,wara,,w a r a,wera-like,like,,,
wora-like,yab,wora,,w o r a,wera-like,like,,,
po-loc,yab,po,,p o,po-loc,LOC,,,
tewijna-there-ana,yab,tëwïjna,,t ə w ɨ h n a,tewijna-there-ana,there.ANA,Potentially morphologically complex; related to [mp](tewi-3pro)?,,
kwa-how,yab,kwa,,k w a,kwa-how,how,,,
meki-3-anim-dist,yab,mëkï,,m ə k ɨ,meki-3-anim-dist,3.ANIM.DIST,,,
ese-name,yab,ese,,e s e,ese-name,name,,,
me-pol,yab,me,,m e,me-pol,POL,Politeness?,,
awata-surp,yab,awata,,a w a t a,awata-surp,SURP,'dunno’,,
se-eval,yab,se,,s e,se-eval,EVAL,,,
empami-learn,yab,ëmpamï,,ə m p a m ɨ,empami-learn,learn,,,
empan-learn,yab,ëmpan,,ə m p a n,empami-learn,learn,,,
empam-learn,yab,ëmpam,,ə m p a m,empami-learn,learn,,,
yakucho-p-a,yab,yakucho,,j a k u t͡ʃ o,yakucho-p-a,P. A.,,,
pedrito-p,yab,pedrito,,p e d r i t o,pedrito-p,P.,,,
kuruj-k,yab,kuruj,,k u r u h,kuruj-k,K.,,,
akino-younger-brother,yab,akino,,a k i n o,akino-younger-brother,younger brother,,,
eee-hey,yab,eee,,e e e,eee-hey,hey,,,
pajarito-p,yab,pajarito,,p a h a r i t o,pajarito-p,P.,,,
yakara-believe,yab,yakara,,j a k a r a,yakara-believe,believe,,,
tamanaku-t,yab,tamanaku,,t a m a n a k u,tamanaku-t,T.,,,
irario-h,yab,irario,,i r a r i o,irario-h,H.,,,
miro-m,yab,mïro,,m ɨ r o,miro-m,M.,,,
pupuri-bactris-gasipaes,yab,pupuri,,p u p u r i,pupuri-bactris-gasipaes,Bactris gasipaes,,,
pipiri-bactris-gasipaes,yab,pïpïri,,p ɨ p ɨ r i,pupuri-bactris-gasipaes,Bactris gasipaes,,,
pipiri-bactris-gasipaes-1,yab,pïpïrï,,p ɨ p ɨ r ɨ,pupuri-bactris-gasipaes,Bactris gasipaes,,,
pijiguao-bactris-gasipaes,yab,pijiguao,,,pijiguao-bactris-gasipaes,Bactris gasipaes,,,
awo-uncle,yab,awo,,a w o,awo-uncle,uncle; father in law,,,
ejwe-hammock,yab,ejwe,,e h w e,ejwe-hammock,hammock,,,
ejwa-hammock,yab,ëjwa,,ə h w a,ejwe-hammock,hammock,,,
yakete-cut,yab,yakëtë,,j a k ə t ə,yakete-cut,cut,,,
enrike-e,yab,enrike,,e n r i k e,enrike-e,E.,,,
kayupare-k,yab,kayupare,,k a j u p a r e,kayupare-k,K.,,,
parangana-pot,yab,parangana,,,parangana-pot,pot,Spanish loan.,,
tampa-become-angry,yab,tampa,,t a m p a,tampa-become-angry,become angry,,,
nanka-find,yab,nanka,,n a n k a,nanka-find,find,,,
akono-younger-sister-of-woman,yab,akono,,a k o n o,akono-younger-sister-of-woman,younger sister of woman,,,
kano-c,yab,kaño,,k a ɲ o,kano-c,C.,,,
chiwapure-c,yab,chiwapure,,t͡ʃ i w a p u r e,chiwapure-c,C.,,,
nwa-glute,yab,nwa,,n w a,nwa-glute,glute,,,
ejne-below,yab,ëjnë,,ə h n ə,ejne-below,below,,,
neto-n,yab,neto,,n e t o,neto-n,N.,,,
erepunu-sick,yab,erepunu,,e r e p u n u,erepunu-sick,sick,,,
erepun-sick,yab,erepun,,e r e p u n,erepunu-sick,sick,,,
antonio-a,yab,antonio,,a n t o n i o,antonio-a,A.,,,
sarampion-measles,yab,sarampion,,s a r a m p i o n,sarampion-measles,measles,Spanish loan.,,
pini-neg,yab,pïni,,p ɨ n i,pini-neg,NEG,,,
santo-s,yab,santo,,s a n t o,santo-s,S.,,,
melicio-m,yab,melicio,,,melicio-m,M.,,,
joti-hoti,yab,joti,,h o t i,joti-hoti,hoti,,,
akere-relative,yab,akërë,,a k ə r ə,akere-relative,relative,,,
akere-relative-1,yab,akere,,a k e r e,akere-relative,relative,,,
kawaratu-k,yab,kawaratu,,k a w a r a t u,kawaratu-k,K.,,,
u-starchy-food,yab,u,,u,u-starchy-food,starchy food,,,
wintika-disappear,yab,wintika,,w i n t i k a,wintika-disappear,disappear,,,
javier-j,yab,javier,,,javier-j,J.,,,
wanita-j,yab,wanita,,w a n i t a,wanita-j,J.,,,
sawankuwi-die,yab,sawankuwi,,s a w a n k u w i,sawankuwi-die,die,,,
sawankui-die,yab,sawankui,,s a w a n k u i,sawankuwi-die,die,,,
yawarana-yawarana,yab,yawarana,,j a w a r a n a,yawarana-yawarana,Yawarana,,,
kukurito-k,yab,kukurito,,k u k u r i t o,kukurito-k,K.,,,
wine-from,yab,winë,,w i n ə,wine-from,from,,,
wine-from-1,yab,wïnë,,w ɨ n ə,wine-from,from,,,
kunawo-brother-in-law,yab,kuñawo,,k u ɲ a w o,kunawo-brother-in-law,brother in law,Spanish loan.,,
yamuwati-y,yab,yamuwati,,j a m u w a t i,yamuwati-y,Y.,,,
merisiyo-m,yab,merisiyo,,m e r i s i j o,merisiyo-m,M.,,,
kanejte-weave,yab,kanejtë,,k a n e h t ə,kanejte-weave,weave,Maybe with [mp](jtevbz)?,,
indigena-indigenous-person,yab,indigena,,,indigena-indigenous-person,indigenous person,,,
pekepene-alone,yab,pëkëpene,,p ə k ə p e n e,pekepene-alone,alone,,,
margarita-m,yab,margarita,,,margarita-m,M.,,,
kajwe-coffee,yab,kajwe,,k a h w e,kajwe-coffee,coffee,Spanish loan.,,
kapitan-chief,yab,kapitan,,k a p i t a n,kapitan-chief,chief,Spanish loan.,,
are-leaf,yab,are,,a r e,are-leaf,leaf; hair,,,
piuj-rustle,yab,piuj,,p i u h,piuj-rustle,rustle,,,
julieta-j,yab,julieta,,,julieta-j,J.,,,
ron-rum,yab,ron,,r o n,ron-rum,rum,Spanish loan.,,
pike-when,yab,pïkë,,p ɨ k ə,pike-when,when,,,
toma-t,yab,toma,,t o m a,toma-t,T.,,,
peremeki-speak,yab,peremekï,,p e r e m e k ɨ,peremeki-speak,speak,,,
sanaka-heal,yab,sanaka,,s a n a k a,sanaka-heal,heal,,,
ijiji-ijiji,yab,ïjïjï,,ɨ h ɨ h ɨ,ijiji-ijiji,ïjïjï,,,
mjm-yes,yab,mjm,,m h m,mjm-yes,yes,,,
sempinuku-close-eyes,yab,sëmpinuku,,s ə m p i n u k u,sempinuku-close-eyes,close eyes,,,
sempinuj-close-eyes,yab,sëmpinuj,,s ə m p i n u h,sempinuku-close-eyes,close eyes,,,
chuk-smack,yab,chuk,,t͡ʃ u k,chuk-smack,smack,,,
yolanda-y,yab,yolanda,,,yolanda-y,Y.,,,
pe-ess,yab,pe,,p e,pe-ess,ESS,,,
kerejpe-old,yab,kërëjpë,,k ə r ə h p ə,kerejpe-old,old,Looks like a lexicalized *-jpë*.,,
kere-old,yab,kërë,,k ə r ə,kere-old,old,Bound root?,,
enu-eye,yab,ënu,,ə n u,enu-eye,eye,,,
emekunu-hand,yab,emekunu,,e m e k u n u,emekunu-hand,hand,,,
ere-liver,yab,ere,,e r e,ere-liver,liver,,,
oti-meat,yab,oti,,o t i,oti-meat,meat,,,
ena-nose,yab,ëna,,ə n a,ena-nose,nose,,,
echi-smoke,yab,ëchi,,ə t͡ʃ i,echi-smoke,smoke,,,
tepu-stone,yab,tëpu,,t ə p u,tepu-stone,stone,,,
ape-arm-wing,yab,apë,,a p ə,ape-arm-wing,"arm, wing",,,
