ID,Wordform_ID,Morph_ID,Index,Gloss_ID
peri-palm-sp-pert-0,peri-palm-sp-pert,pe-palm-sp,0,"palm,sp"
peri-palm-sp-pert-1,peri-palm-sp-pert,ripert,1,pert
poseti-belly-0,poseti-belly,poseti-belly,0,belly
puturu-feel-ipfv-0,puturu-feel-ipfv,putu-feel,0,feel
puturu-feel-ipfv-1,puturu-feel-ipfv,ri-ru,1,ipfv
peke-about-0,peke-about,peke-about,0,about
pekepene-alone-0,pekepene-alone,pekepene-alone,0,alone
romoye-downriver-0,romoye-downriver,romoye-downriver,0,downriver
rui-older-brother-0,rui-older-brother,rui-older-brother,0,older-brother
saparari-heavy-pot-pert-0,saparari-heavy-pot-pert,sapara-heavy-pot,0,heavy-pot
saparari-heavy-pot-pert-1,saparari-heavy-pot-pert,ripert,1,pert
sukase-all-0,sukase-all,sukase-all,0,all-1
tajme-ugly-0,tajme-ugly,tajme-ugly,0,ugly
takunuru-laziness-pert-0,takunuru-laziness-pert,takunu-laziness,0,laziness
takunuru-laziness-pert-1,takunuru-laziness-pert,rupert,1,pert
tarine-fast-0,tarine-fast,tarine-fast,0,fast
tawaru-nyctidromus-albicollis-pert-0,tawaru-nyctidromus-albicollis-pert,tawa-nyctidromus-albicollis,0,nyctidromus-albicollis
tawaru-nyctidromus-albicollis-pert-1,tawaru-nyctidromus-albicollis-pert,rupert,1,pert
tawori-3-uncle-pert-0,tawori-3-uncle-pert,it3,0,3
tawori-3-uncle-pert-1,tawori-3-uncle-pert,awo-uncle,1,uncle
tawori-3-uncle-pert-2,tawori-3-uncle-pert,ripert,2,pert
teijpo-far-0,teijpo-far,teijpo-far-1,0,far
teijpono-far-nmlz-0,teijpono-far-nmlz,teijpo-far-1,0,far
teijpono-far-nmlz-1,teijpono-far-nmlz,nonmlz,1,nmlz
tejporemi-tasty-nmlz-1,tejporemi-tasty-nmlz,minmlz,1,nmlz
tejweti-3-hammock-pert-0,tejweti-3-hammock-pert,it3,0,3
tejweti-3-hammock-pert-1,tejweti-3-hammock-pert,ejwe-hammock,1,hammock
tejweti-3-hammock-pert-2,tejweti-3-hammock-pert,tipert,2,pert
tepese-3-escape-pst-0,tepese-3-escape-pst,it3,0,3
tepese-3-escape-pst-1,tepese-3-escape-pst,epe-escape,1,escape
tepese-3-escape-pst-2,tepese-3-escape-pst,sepst,2,pst
terepunu-3-sick-pert-0,terepunu-3-sick-pert,it3,0,3
terepunu-3-sick-pert-1,terepunu-3-sick-pert,erepunu-sick,1,sick
terepunu-3-sick-pert-2,terepunu-3-sick-pert,rupert-zero,2,pert
