ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
yarlex-3007-anfo-puuturu-wav,YarLex_3007_AnFo_puuturu,,x/wav,YarLex_3007_AnFo_puuturu.wav,
yarlex-1311-pape-tepeke-02-wav,YarLex_1311_PaPe_tepeke-02,,x/wav,YarLex_1311_PaPe_tepeke-02.wav,
yarlex-1568-anfo-romoye-02-wav,YarLex_1568_AnFo_romoye-02,,x/wav,YarLex_1568_AnFo_romoye-02.wav,
yarlex-1612-anfo-saparari-wav,YarLex_1612_AnFo_saparari,,x/wav,YarLex_1612_AnFo_saparari.wav,
yarlex-1757-anfo-sukase-02-wav,YarLex_1757_AnFo_sukase-02,,x/wav,YarLex_1757_AnFo_sukase-02.wav,
yarlex-1803-anfo-tajme-wav,YarLex_1803_AnFo_tajme,,x/wav,YarLex_1803_AnFo_tajme.wav,
yarlex-1837-anfo-takunuru-wav,YarLex_1837_AnFo_takunuru,,x/wav,YarLex_1837_AnFo_takunuru.wav,
yarlex-1864-anfo-tapiire-wav,YarLex_1864_AnFo_tapiire,,x/wav,YarLex_1864_AnFo_tapiire.wav,
yarlex-1920-pape-tawaru-wav,YarLex_1920_PaPe_tawaru,,x/wav,YarLex_1920_PaPe_tawaru.wav,
yarlex-1948-pape-teijpono-wav,YarLex_1948_PaPe_teijpono,,x/wav,YarLex_1948_PaPe_teijpono.wav,
yarlex-1957-anfo-tejpore-wav,YarLex_1957_AnFo_tejpore,,x/wav,YarLex_1957_AnFo_tejpore.wav,
yarlex-2020-anfo-terepunu-wav,YarLex_2020_AnFo_terepunu,,x/wav,YarLex_2020_AnFo_terepunu.wav,
yarlex-2030-pape-teseke-wav,YarLex_2030_PaPe_teseke,,x/wav,YarLex_2030_PaPe_teseke.wav,
yarlex-2104-anfo-tooti-wav,YarLex_2104_AnFo_tooti,,x/wav,YarLex_2104_AnFo_tooti.wav,
yarlex-2123-anfo-tujnaka-wav,YarLex_2123_AnFo_tujnaka,,x/wav,YarLex_2123_AnFo_tujnaka.wav,
yarlex-1945-pape-teijpo-02-wav,YarLex_1945_PaPe_teijpo-02,,x/wav,YarLex_1945_PaPe_teijpo-02.wav,
yarlex-2046-pape-tewi-wav,YarLex_2046_PaPe_tewi,,x/wav,YarLex_2046_PaPe_tewi.wav,
yarlex-2048-anfo-tewisantomo-wav,YarLex_2048_AnFo_tewisantomo,,x/wav,YarLex_2048_AnFo_tewisantomo.wav,
yarlex-2263-anfo-wanene-02-wav,YarLex_2263_AnFo_wanene-02,,x/wav,YarLex_2263_AnFo_wanene-02.wav,
yarlex-2280-anfo-warijtori-wav,YarLex_2280_AnFo_warijtori,,x/wav,YarLex_2280_AnFo_warijtori.wav,
yarlex-2377-anfo-wenaru-wav,YarLex_2377_AnFo_wenaru,,x/wav,YarLex_2377_AnFo_wenaru.wav,
yarlex-2821-anfo-yumpe-wav,YarLex_2821_AnFo_yumpe,,x/wav,YarLex_2821_AnFo_yumpe.wav,
yarlex-2752-pape-yeukuru-wav,YarLex_2752_PaPe_yeukuru,,x/wav,YarLex_2752_PaPe_yeukuru.wav,
yarlex-0298-anfo-ejpina-02-wav,YarLex_0298_AnFo_ejpina-02,,x/wav,YarLex_0298_AnFo_ejpina-02.wav,
yarlex-0308-anfo-ejte-wav,YarLex_0308_AnFo_ejte,,x/wav,YarLex_0308_AnFo_ejte.wav,
yarlex-0271-pape-eke-02-wav,YarLex_0271_PaPe_eke-02,,x/wav,YarLex_0271_PaPe_eke-02.wav,
yarlex-0356-anfo-empare-02-wav,YarLex_0356_AnFo_empare-02,,x/wav,YarLex_0356_AnFo_empare-02.wav,
yarlex-0380-pape-enukuru-wav,YarLex_0380_PaPe_enukuru,,x/wav,YarLex_0380_PaPe_enukuru.wav,
convcosnoind-52,convcosnoind-52,,audio/wav,convcosnoind-52.wav,
convcosnoind-53,convcosnoind-53,,audio/wav,convcosnoind-53.wav,
convcosnoind-126,convcosnoind-126,,audio/wav,convcosnoind-126.wav,
convcosnoind-132,convcosnoind-132,,audio/wav,convcosnoind-132.wav,
