ID,Language_ID,Name,Description,Parameter_ID,Comment,Source,Part_Of_Speech,Tags
kanejte-weave,yab,kanejtë,,weave,Maybe with [mp](jtevbz)?,,,
indigena-indigenous-person,yab,indigena,,indigenous person,,,,
pekepene-alone,yab,pëkëpene,,alone,,,,
margarita-m,yab,margarita,,M.,,,,
kajwe-coffee,yab,kajwe,,coffee,Spanish loan.,,,
kapitan-chief,yab,kapitan,,chief,Spanish loan.,,,
are-leaf,yab,are,,leaf; hair,,,,
piuj-rustle,yab,piuj,,rustle,,,,
julieta-j,yab,julieta,,J.,,,,
ron-rum,yab,ron,,rum,Spanish loan.,,,
pike-when,yab,pïkë,,when,,,,
toma-t,yab,toma,,T.,,,,
peremeki-speak,yab,peremekï,,speak,,,,
sanaka-heal,yab,sanaka,,heal,,,,
ijiji-ijiji,yab,ïjïjï,,ïjïjï,,,,
mjm-yes,yab,mjm,,yes,,,,
sempinuku-close-eyes,yab,sëmpinuku,,close eyes,,,,
chuk-smack,yab,chuk,,smack,,,,
yolanda-y,yab,yolanda,,Y.,,,,
pe-ess,yab,pe,,ESS,,,,
kerejpe-old,yab,kërëjpë,,old,Looks like a lexicalized *-jpë*.,,,
kere-old,yab,kërë,,old,Bound root?,,,
enu-eye,yab,ënu,,eye,,,,
emekunu-hand,yab,emekunu,,hand,,,,
ere-liver,yab,ere,,liver,,,,
oti-meat,yab,oti,,meat,,,,
ena-nose,yab,ëna,,nose,,,,
echi-smoke,yab,ëchi,,smoke,,,,
tepu-stone,yab,tëpu,,stone,,,,
ape-arm-wing,yab,apë,,"arm, wing",,,,
yeremutu-ash,yab,yeremutu,,ash,,,,
kanawa-canoe,yab,kanawa,,canoe,,,,
kemichini-be-cold,yab,këmïchini,,be cold,,,,
yakuri-agouti,yab,yakuri,,agouti,,,,
makampra-aunt,yab,makampra,,aunt,older sister of mother,,,
yemi-be-hungry,yab,yëmï,,be hungry,,,,
ijmojka-cook,yab,ijmojka,,cook,,,,
padrastro-stepfather,yab,padrastro,,stepfather,,,,
rafa-r,yab,rafa,,R.,,,,
perez-p,yab,perez,,P.,,,,
akere-with,yab,akërë,,with,,,,
ka-all,yab,ka,,ALL,,,,
maijte-go-imp,yab,maijtë,,go.IMP,,,,
ammm-um,yab,ammm,,um,,,,
ejnomo-ejnomo,yab,ejnomo,,ejnomo,mother of the water,,,
chipokono-because,yab,chipokono,,because,etymologically COP=about(-NMLZ),,,
kontomopl,yab,kontomo,,PL,Often encliticized.,,,
enirepeke-recently,yab,enirëpëke,,recently,,,,
pinita-neg,yab,pïnita,,NEG,only attested after in-chaj 'see-PFV',,,
jnepl,yab,=jne,,PL,A clitic.,,,
meresantomo-med-inan-pl,yab,mërësantomo,,MED.INAN.PL,,,,
mete-thin,yab,mëtë,,thin,,,,
erepi-scare,yab,erepi,,scare,,,,
katupu-pile-up,yab,katupu,,pile up,,,,
keya-big,yab,këya,,big?,,,,
kiri-thicken,yab,kïrï,,thicken,,,,
pecv-witch,yab,peCV,,witch,,,,
yajwe-become-sweet,yab,yajwe,,become sweet,,,,
yapi-become-worse,yab,yapi,,become worse,,,,
yatu-become-warm,yab,yatu,,become warm,,,,
yere-eat,yab,yere,,eat,,,,
ereka-tire,yab,ereka,,tire,,,,
secv-dream,yab,seCV,,dream,,,,
apeti-grab,yab,apëti,,grab,,,,
tejpo-taste,yab,tejpo,,taste,,,,
tapi-redness,yab,tapi,,redness,,,,
pochi-smell,yab,pochi,,smell,,,,
macv-thin,yab,maCV,,thin,,,,
pai-full,yab,pai,,full,,,,
