ID,Language_ID,Name,Description,Parameter_ID,Comment,Source,Part_Of_Speech,Tags
ati-plot-of-cultivated-land,yab,ati,,plot of cultivated land,,,,
awajpe-mountain-eagle,yab,awajpë,,mountain eagle,,,,
awarake-wasp-sp,yab,awarakë,,wasp sp.,,,,
awochi-tumor,yab,awochi,,tumor,,,,
chai-son-voc,yab,chai,,son (voc.),,,,
chijchipu-body-movement,yab,chijchipu,,body movement,,,,
chika-bite,yab,chika,,bite,,,,
chike-chigger,yab,chikë,,chigger,,,,
chima-path,yab,chima,,path,,,,
chimichimi-worm-dog,yab,chimichimi,,worm (dog),,,,
chipiyu-fungus-sp,yab,chipiyu,,fungus.sp,,,,
chiramu-mange,yab,chiramu,,mange,,,,
chirike-star,yab,chirikë,,star,,,,
chiri-titi-monkey,yab,chiri,,titi monkey,,,,
chiri-wild-pineapple,yab,chiri,,wild pineapple,,,,
chiyakono-friend,yab,chiyakono,,friend,,,,
chekey-nit,yab,chëkëy,,nit,,,,
ejne-1-2pro,yab,ejnë,,1+2PRO,,,,
eni-prox-inan,yab,eni,,PROX.INAN,Are these actually allomorphs?,,,
enijne-prox-inan-pl,yab,enijne,,PROX.INAN.PL,Also *enisantomo*?,,,
enijpete-one,yab,enijpëtë,,one,,,,
enire-now,yab,enirë,,now; today,,,,
entono-from-here,yab,entono,,from here,,,,
ente-here-loc,yab,entë,,here.LOC,,,,
epe-escape,yab,epe,,escape; hide and seek,,,,
eretapi-cultivated-plant,yab,eretapi,,cultivated plant,,,,
ewine-here-all,yab,ewinë,,here.ALL,,,,
ijmoy-egg,yab,ijmoy,,egg,,,,
ijpu-summit,yab,ijpu,,summit,,,,
inawe-have,yab,inawë,,have,,,,
ini-see,yab,ini,,see,,,,
intipijke-small,yab,intipijkë,,small,? + [](morphemes.csv#cldf:pijkedim),,,
iriyawe-then,yab,iriyawë,,then,,,,
irejpe-then,yab,irëjpë,,then,,,,
ita-hear,yab,ita,,hear,,,,
iyajtepe-before,yab,iyajtëpe,,before,,,,
iyajte-care-for,yab,iyajtë,,care for,,,,
jta-foot,yab,jta,,foot,,,,
jwaka-ill-aq,yab,jwaka,,ILL.AQ; LOC.AQ,,,,
ka-q,yab,ka,,Q,,,,
kaimo-game,yab,kaimo,,game,,,,
kamere-lightning,yab,kamere,,lightning,,,,
kampara-big,yab,kampara,,big,,,,
kamwiyajka-change,yab,kamwiyajka,,change,,,,
kapau-dasypus-novemcinctus,yab,kapau,,dasypus novemcinctus,,,,
karasake-white,yab,karasake,,white,Probably contains [mp](keprop).,,,
ka-take-out,yab,ka,,take out,,,,
kasajpe-fruit-pit,yab,kasajpë,,fruit pit,,,,
kaso-fat,yab,kaso,,fat,,,,
kawono-high,yab,kawono,,high,,,,
kawe-high,yab,kawë,,high,,,,
kayami-louse,yab,kayamï,,louse,,,,
