ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
kamwiyajka-change,yab,kamwiyajka,kamwiyajka-change,change,kamwiyajka,k a m w i j a h k a,,,vt
kapau-dasypus-novemcinctus,yab,kapau,kapau-dasypus-novemcinctus,dasypus novemcinctus,kapau,k a p a u,,,n
karasake-white,yab,karasake,karasake-white,white,karasake,k a r a s a k e,Probably contains [mp](keprop).,,adv
ka-take-out,yab,ka,ka-take-out,take out,ka,k a,,,vt
kasajpe-fruit-pit,yab,kasajpë,kasajpe-fruit-pit,fruit pit,kasajpë,k a s a h p ə,,,n
kaso-fat,yab,kaso,kaso-fat,fat,kaso,k a s o,,,n
kawono-high,yab,kawono,kawono-high,high,kawono,k a w o n o,,,n
kawon-high,yab,kawon,kawono-high,high,kawon,k a w o n,,,n
kawe-high,yab,kawë,kawe-high,high,kawë,k a w ə,,,adv
kayami-louse,yab,kayamï,kayami-louse,louse,kayamï,k a j a m ɨ,,,n
kaya-barbasco,yab,kaya,kaya-barbasco,barbasco,kaya,k a j a,,,n
kaya-gourd,yab,kaya,kaya-gourd,gourd,kaya,k a j a,,,n
kejkepe-salamander,yab,kejkepe,kejkepe-salamander,salamander,kejkepe,k e h k e p e,,,n
kinta-become-tired,yab,kinta,kinta-become-tired,become tired,kinta,k i n t a,,,vi
kocha-tail,yab,kocha,kocha-tail,tail,kocha,k o t͡ʃ a,,,n
kojpa-night,yab,kojpa,kojpa-night,night,kojpa,k o h p a,,,n
konopo-rain,yab,konopo,konopo-rain,rain,konopo,k o n o p o,,,n
ko-brassolis-sophorae,yab,ko,ko-brassolis-sophorae,brassolis sophorae,ko,k o,,,n
kori-brassolis-sophorae,yab,korï,ko-brassolis-sophorae,brassolis sophorae,korï,k o r ɨ,,,n
kuku-answer,yab,kuku,kuku-answer,answer,kuku,k u k u,,,vt
kune-cook,yab,kunë,kune-cook,cook,kunë,k u n ə,,,vt
kuno-cook,yab,kuno,kune-cook,cook,kuno,k u n o,,,vt
kuru-prochilodus-mariae,yab,kuru,kuru-prochilodus-mariae,prochilodus mariae,kuru,k u r u,,,n
kuruwa-coroba-palm,yab,kuruwa,kuruwa-coroba-palm,coroba palm,kuruwa,k u r u w a,,,n
kuya-tree-sp,yab,kuya,kuya-tree-sp,tree.sp,kuya,k u j a,,,n
kuyuwi-bird-sp,yab,kuyuwi,kuyuwi-bird-sp,bird.sp,kuyuwi,k u j u w i,,,n
kejma-hunt,yab,këjma,kejma-hunt,hunt,këjma,k ə h m a,,,vt
kemu-pus,yab,këmu,kemu-pus,pus,këmu,k ə m u,,,n
keta-stink,yab,këta,keta-stink,stink,këta,k ə t a,,,vi
