ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
keyaja-think-neg-1-neg,keya-think,neg,keyaja-think-neg-1,
meyakarama-2-tell-ipfv-0-2,yakarama-tell,2,meyakarama-2-tell-ipfv-0,
meyakarama-2-tell-ipfv-2-ipfv,yakarama-tell,ipfv,meyakarama-2-tell-ipfv-2,
warotari-work-ipfv-1-ipfv,warota-work,ipfv,warotari-work-ipfv-1,
patakaja-take-out-neg-1-neg,pataka-take-out,neg,patakaja-take-out-neg-1,
apatakaja-come-out-neg-1-neg,apataka-come-out,neg,apatakaja-come-out-neg-1,
nwajtenepeke-dance-prog-intr-1-prog,nwajte-dance,prog,nwajtenepeke-dance-prog-intr-1,
wejkaja-fall-neg-1-neg,wejka-fall,neg,wejkaja-fall-neg-1,
tese-go-pst-1-pst,te-go,pst,tese-go-pst-1,
wurijyantomo-woman-pl-1-pl,wurijyan-woman,pl,wurijyantomo-woman-pl-1,
tase-say-pst-1-pst,ta-say,pst,tase-say-pst-1,
tototomo-non-indian-pl-1-pl,toto-non-indian,pl,tototomo-non-indian-pl-1,
pata-village-pert-1-pert,pata-village,pert,pata-village-pert-1,
meteja-2-go-neg-0-2,te-go,2,meteja-2-go-neg-0,
meteja-2-go-neg-2-neg,te-go,neg,meteja-2-go-neg-2,
meempamijpe-2-learn-pst-0-2,empami-learn,2,meempamijpe-2-learn-pst-0,
meempamijpe-2-learn-pst-2-pst,empami-learn,pst,meempamijpe-2-learn-pst-2,
waimu-language-pert-1-pert,waimu-language,pert,waimu-language-pert-1,
winijse-sleep-pst-1-pst,winij-sleep,pst,winijse-sleep-pst-1,
waijtatomo-mouse-pl-1-pl,waijta-mouse,pl,waijtatomo-mouse-pl-1,
nwajteri-dance-ipfv-1-ipfv,nwajte-dance,ipfv,nwajteri-dance-ipfv-1,
iwenaru-3-vomit-pert-0-3,wena-vomit,3,iwenaru-3-vomit-pert-0,
iwenaru-3-vomit-pert-2-pert,wena-vomit,pert,iwenaru-3-vomit-pert-2,
usukuru-1-urine-pert-0-1,suku-urine,1,usukuru-1-urine-pert-0,
usukuru-1-urine-pert-2-pert,suku-urine,pert,usukuru-1-urine-pert-2,
usujta-1-urinate-ipfv-0-1,sujta-urinate,1,usujta-1-urinate-ipfv-0,
usujta-1-urinate-ipfv-2-ipfv,sujta-urinate,ipfv,usujta-1-urinate-ipfv-2,
tipase-go-in-group-pst-1-pst,tipa-go-in-group,pst,tipase-go-in-group-pst-1,
tipapejse-go-in-group-plur-pst-2-pst,tipapej-go-in-group-plur,pst,tipapejse-go-in-group-plur-pst-2,
ijtese-3-go-pst-0-3,te-go,3,ijtese-3-go-pst-0,
ijtese-3-go-pst-2-pst,te-go,pst,ijtese-3-go-pst-2,
tiwij-3-house-pert-0-3,iwij-house,3,tiwij-3-house-pert-0,
tiwij-3-house-pert-2-pert,iwij-house,pert,tiwij-3-house-pert-2,
meyepema-2-pay-ipfv-0-2,yepema-pay,2,meyepema-2-pay-ipfv-0,
meyepema-2-pay-ipfv-2-ipfv,yepema-pay,ipfv,meyepema-2-pay-ipfv-2,
meyapejjrama-2-grab-proh-0-2,yapej-grab,2,meyapejjrama-2-grab-proh-0,
mepana-2-dat-0-2,pana-dat,2,mepana-2-dat-0,
tataja-3p-say-neg-0-3,ta-say,3,tataja-3p-say-neg-0,
tataja-3p-say-neg-2-neg,ta-say,neg,tataja-3p-say-neg-2,
metojpa-2-hit-ipfv-0-2,tojpa-hit,2,metojpa-2-hit-ipfv-0,
metojpa-2-hit-ipfv-2-ipfv,tojpa-hit,ipfv,metojpa-2-hit-ipfv-2,
nankase-find-pst-1-pst,nanka-find,pst,nankase-find-pst-1,
