ID,Wordform_ID,Stem_ID,Index
teijpo-far-1-0,teijpo-far-1,teijpo-far,0
tewi-3pro-0,tewi-3pro,tewi-3pro,0
tewisantomo-3pro-pl-0,tewisantomo-3pro-pl,tewisantomo-3pro-pl,0
wanene-aunt-0,wanene-aunt,wanene-aunt,0
waraijtori-husband-pert-0,waraijtori-husband-pert,waraijto-husband,0
wenaru-vomit-pert-0,wenaru-vomit-pert,wena-vomit,0
weseyu-be-brave-acnnmlz-0,weseyu-be-brave-acnnmlz,weseyu-be-brave,0
weseyuru-be-brave-ipfv-0,weseyuru-be-brave-ipfv,weseyu-be-brave,0
wire-1pro-0,wire-1pro,wire-1pro,0
yane-mother-0,yane-mother,yane-mother,0
yumpe-fairly-0,yumpe-fairly,yumpe-fairly,0
yewukuru-answer-ipfv-0,yewukuru-answer-ipfv,yewuku-answer,0
ejpina-often-0,ejpina-often,ejpina-often,0
ejte-house-npert-0,ejte-house-npert,ej-house,0
empare-already-0,empare-already,empare-already,0
enukuru-go-up-ipfv-0,enukuru-go-up-ipfv,enuku-go-up,0
toto-non-indian-0,toto-non-indian,toto-non-indian,0
yoti-lk-meat-pert-1,yoti-lk-meat-pert,oti-meat,1
tajtoj-say-circ-nmlz-deriv-stem,tajtoj-say-circ-nmlz,tajtoj-say-circ-nmlz,"0,1"
tajtoj-say-circ-nmlz-0,tajtoj-say-circ-nmlz,taj-say,0
ke-ins-0,ke-ins,ke-ins,0
yamane-make-ipfv-0,yamane-make-ipfv,yamane-make,0
wejsape-cop-pfv-0,wejsape-cop-pfv,wej-cop,0
ya-erg-0,ya-erg,ya-erg,0
nepijpe-bring-pst-0,nepijpe-bring-pst,nepi-bring,0
wejtane-cop-cncs-0,wejtane-cop-cncs,wej-cop,0
warai-like-0,warai-like,warai-like,0
mere-2pro-0,mere-2pro,mere-2pro,0
iniri-see-ipfv-0,iniri-see-ipfv,ini-see,0
meyarika-2-laugh-ipfv-1,meyarika-2-laugh-ipfv,yarika-laugh,1
yaruwari-laugh-ipfv-0,yaruwari-laugh-ipfv,yaruwa-laugh,0
wajyakiti-be-happy-ipfv-0,wajyakiti-be-happy-ipfv,wajyakiti-be-happy,0
taro-say-ipfv-0,taro-say-ipfv,taro-say,0
ta-say-ipfv-0,ta-say-ipfv,ta-say,0
uyiwij-1-lk-house-pert-2,uyiwij-1-lk-house-pert,iwij-house,2
yawe-loc-0,yawe-loc,yawe-loc,0
usenejkari-1-stay-ipfv-1,usenejkari-1-stay-ipfv,senejka-stay,1
sukuri-silently-0,sukuri-silently,sukuri-silently,0
yaruwa-laugh-ipfv-0,yaruwa-laugh-ipfv,yaruwa-laugh,0
yatum-day-0,yatum-day,yatum-day,0
inija-see-neg-0,inija-see-neg,ini-see,0
uyare-1-alone-1,uyare-1-alone,yare-alone,1
peremekiri-talk-ipfv-0,peremekiri-talk-ipfv,peremeki-talk,0
yakere-lk-with-1,yakere-lk-with,akere-with,1
meyenetojpano-2-eat-meat-fut-concl-1,meyenetojpano-2-eat-meat-fut-concl,yene-eat-meat,1
uyakere-1-lk-with-2,uyakere-1-lk-with,akere-with,2
wepiri-come-ipfv-0,wepiri-come-ipfv,wepi-come,0
tawara-too-0,tawara-too,tawara-too,0
winikiri-sleep-ipfv-0,winikiri-sleep-ipfv,winiki-sleep,0
iyawe-3-loc-1,iyawe-3-loc,yawe-loc,1
tayawankase-3p-kill-pst-1,tayawankase-3p-kill-pst,yawanka-kill,1
meinpo-2-see-des-ipfv-deriv-stem,meinpo-2-see-des-ipfv,inpo-see-des,"1,2"
meinpo-2-see-des-ipfv-1,meinpo-2-see-des-ipfv,in-see,1
meini-2-see-ipfv-1,meini-2-see-ipfv,ini-see,1
keyaja-think-neg-0,keyaja-think-neg,keya-think,0
make-mom-0,make-mom,make-mom,0
meyakarama-2-tell-ipfv-1,meyakarama-2-tell-ipfv,yakarama-tell,1
moyochi-spider-sp-0,moyochi-spider-sp,moyochi-spider-sp,0
tasare-say-imn-0,tasare-say-imn,ta-say,0
warotari-work-ipfv-0,warotari-work-ipfv,warota-work,0
mujyam-pregnancy-0,mujyam-pregnancy,mujyam-pregnancy,0
patakaja-take-out-neg-0,patakaja-take-out-neg,pataka-take-out,0
apatakaja-come-out-neg-0,apatakaja-come-out-neg,apataka-come-out,0
nwajtenepeke-dance-prog-intr-0,nwajtenepeke-dance-prog-intr,nwajte-dance,0
wejkaja-fall-neg-0,wejkaja-fall-neg,wejka-fall,0
ana-1-3pro-0,ana-1-3pro,ana-1-3pro,0
tese-go-pst-0,tese-go-pst,te-go,0
wurijyantomo-woman-pl-0,wurijyantomo-woman-pl,wurijyan-woman,0
muku-child-0,muku-child,muku-child,0
tase-say-pst-0,tase-say-pst,ta-say,0
tototomo-non-indian-pl-0,tototomo-non-indian-pl,toto-non-indian,0
pata-village-pert-0,pata-village-pert,pata-village,0
yaka-all-0,yaka-all,yaka-all,0
meteja-2-go-neg-1,meteja-2-go-neg,te-go,1
chijpe-cop-pst-acnnmlz-0,chijpe-cop-pst-acnnmlz,chi-cop,0
senkatoj-finish-circ-nmlz-0,senkatoj-finish-circ-nmlz,senka-finish,0
meempamijpe-2-learn-pst-1,meempamijpe-2-learn-pst,empami-learn,1
waimu-language-pert-0,waimu-language-pert,waimu-language,0
yaye-loc-0,yaye-loc,yaye-loc,0
winijse-sleep-pst-0,winijse-sleep-pst,winij-sleep,0
waijtatomo-mouse-pl-0,waijtatomo-mouse-pl,waijta-mouse,0
nwajteri-dance-ipfv-0,nwajteri-dance-ipfv,nwajte-dance,0
iwenaru-3-vomit-pert-1,iwenaru-3-vomit-pert,wena-vomit,1
usukuru-1-urine-pert-1,usukuru-1-urine-pert,suku-urine,1
usujta-1-urinate-ipfv-1,usujta-1-urinate-ipfv,sujta-urinate,1
